composite_key,description
1110.0_nan,True
1120.0_nan,True
1130.0_nan,True
1140.0_nan,True
1150.0_nan,True
1160.0_nan,True
1190.0_nan,True
1210.0_nan,True
1220.0_nan,True
1230.0_nan,True
1240.0_nan,True
1250.0_nan,True
1260.0_nan,True
1270.0_nan,True
1280.0_nan,True
1290.0_nan,True
1300.0_nan,True
1410.0_nan,True
1420.0_nan,True
1430.0_nan,True
1440.0_nan,True
1450.0_nan,True
1460.0_nan,True
1470.0_nan,True
1490.0_nan,True
1500.0_nan,True
1610.0_nan,True
1621.0_nan,True
1629.0_nan,True
1630.0_nan,True
1640.0_nan,True
1700.0_nan,True
2100.0_nan,True
2200.0_nan,True
2300.0_nan,True
2400.0_nan,True
3110.0_nan,True
3120.0_nan,True
3210.0_nan,True
3220.0_nan,True
5101.0_nan,True
5102.0_nan,True
5200.0_nan,True
6100.0_nan,True
6200.0_nan,True
7100.0_nan,True
7210.0_nan,True
7290.0_nan,True
8110.0_nan,True
8120.0_nan,True
8910.0_nan,True
8920.0_nan,True
8930.0_nan,True
8990.0_nan,True
9100.0_nan,True
9900.0_nan,True
10110.0_nan,True
10120.0_nan,True
10130.0_nan,True
10200.0_nan,True
10310.0_nan,True
10320.0_nan,True
10390.0_nan,True
10410.0_nan,True
10420.0_nan,True
10511.0_nan,True
10512.0_nan,True
10519.0_nan,True
10520.0_nan,True
10611.0_nan,True
10612.0_nan,True
10620.0_nan,True
10710.0_nan,True
10720.0_nan,True
10730.0_nan,True
10810.0_nan,True
10821.0_nan,True
10822.0_nan,True
10831.0_nan,True
10832.0_nan,True
10840.0_nan,True
10850.0_nan,True
10860.0_nan,True
10890.0_nan,True
10910.0_nan,True
10920.0_nan,True
11010.0_nan,True
11020.0_nan,True
11030.0_nan,True
11040.0_nan,True
11050.0_nan,True
11060.0_nan,True
11070.0_nan,True
12000.0_nan,True
13100.0_nan,True
13200.0_nan,True
13300.0_nan,True
13910.0_nan,True
13921.0_nan,True
13922.0_nan,True
13923.0_nan,True
13931.0_nan,True
13939.0_nan,True
13940.0_nan,True
13950.0_nan,True
13960.0_nan,True
13990.0_nan,True
14110.0_nan,True
14120.0_nan,True
14131.0_nan,True
14132.0_nan,True
14141.0_nan,True
14142.0_nan,True
14190.0_nan,True
14200.0_nan,True
14310.0_nan,True
14390.0_nan,True
15110.0_nan,True
15120.0_nan,True
15200.0_nan,True
16100.0_nan,True
16210.0_nan,True
16220.0_nan,True
16230.0_nan,True
16240.0_nan,True
16290.0_nan,True
17110.0_nan,True
17120.0_nan,True
17211.0_nan,True
17219.0_nan,True
17220.0_nan,True
17230.0_nan,True
17240.0_nan,True
17290.0_nan,True
18110.0_nan,True
18121.0_nan,True
18129.0_nan,True
18130.0_nan,True
18140.0_nan,True
18201.0_nan,True
18202.0_nan,True
18203.0_nan,True
19100.0_nan,True
19201.0_nan,True
19209.0_nan,True
20110.0_nan,True
20120.0_nan,True
20130.0_nan,True
20140.0_nan,True
20150.0_nan,True
20160.0_nan,True
20170.0_nan,True
20200.0_nan,True
20301.0_nan,True
20302.0_nan,True
20411.0_nan,True
20412.0_nan,True
20420.0_nan,True
20510.0_nan,True
20520.0_nan,True
20530.0_nan,True
20590.0_nan,True
20600.0_nan,True
21100.0_nan,True
21200.0_nan,True
22110.0_nan,True
22190.0_nan,True
22210.0_nan,True
22220.0_nan,True
22230.0_nan,True
22290.0_nan,True
23110.0_nan,True
23120.0_nan,True
23130.0_nan,True
23140.0_nan,True
23190.0_nan,True
23200.0_nan,True
23310.0_nan,True
23320.0_nan,True
23410.0_nan,True
23420.0_nan,True
23430.0_nan,True
23440.0_nan,True
23490.0_nan,True
23510.0_nan,True
23520.0_nan,True
23610.0_nan,True
23620.0_nan,True
23630.0_nan,True
23640.0_nan,True
23650.0_nan,True
23690.0_nan,True
23700.0_nan,True
23910.0_nan,True
23990.0_nan,True
24100.0_nan,True
24200.0_nan,True
24310.0_nan,True
24320.0_nan,True
24330.0_nan,True
24340.0_nan,True
24410.0_nan,True
24420.0_nan,True
24430.0_nan,True
24440.0_nan,True
24450.0_nan,True
24460.0_nan,True
24510.0_nan,True
24520.0_nan,True
24530.0_nan,True
24540.0_nan,True
25110.0_nan,True
25120.0_nan,True
25210.0_nan,True
25290.0_nan,True
25300.0_nan,True
25400.0_nan,True
25500.0_nan,True
25610.0_nan,True
25620.0_nan,True
25710.0_nan,True
25720.0_nan,True
25730.0_nan,True
25910.0_nan,True
25920.0_nan,True
25930.0_nan,True
25940.0_nan,True
